,categories,value,percentages
0,biology chemistry,4145668,1.8907629832561248
1,arts literature music psychology,16528232,7.538222446719425
2,business literature,45426111,20.718013804352374
3,,14014382,6.391701848665824
4,mathematics physics,28132758,12.830833381814815
5,biology chemistry psychology,25691042,11.71721165534705
6,computer_science physics,8309453,3.789788453096668
7,biology chemistry physics mathematics,7705759,3.5144550391844835
8,computer_science mathematics physics,42320867,19.30176880119969
9,business psychology,9513486,4.33892598912454
10,literature psychology,13828968,6.307137820062855
11,,219259007,100.0
