video_id,title,categories,duration,tags,publish_date,vector
1,Video Title 1,arts,50000,,2015-02-13 08:36:05,1 0 0 0 0 0 0 0 0 0
2,Video Title 2,arts,53000,,2016-10-02 20:34:05,1 0 0 0 0 0 0 0 0 0
3,Video Title 3,arts,37000,,2015-05-27 07:31:21,1 0 0 0 0 0 0 0 0 0
4,Video Title 4,arts,33000,,2020-10-07 22:52:30,1 0 0 0 0 0 0 0 0 0
5,Video Title 5,arts,58000,,2019-06-16 14:06:30,1 0 0 0 0 0 0 0 0 0
6,Video Title 6,arts,48000,,2018-03-23 00:21:05,1 0 0 0 0 0 0 0 0 0
7,Video Title 7,arts,30000,,2014-12-10 23:42:10,1 0 0 0 0 0 0 0 0 0
8,Video Title 8,arts,37000,,2019-01-21 13:07:23,1 0 0 0 0 0 0 0 0 0
9,Video Title 9,arts,30000,,2019-08-13 13:04:03,1 0 0 0 0 0 0 0 0 0
10,Video Title 10,arts,52000,,2020-07-02 01:52:36,1 0 0 0 0 0 0 0 0 0
11,Video Title 11,arts,47000,,2018-03-14 05:56:10,1 0 0 0 0 0 0 0 0 0
12,Video Title 12,arts,44000,,2019-11-23 19:40:26,1 0 0 0 0 0 0 0 0 0
13,Video Title 13,arts,55000,,2022-09-10 22:42:29,1 0 0 0 0 0 0 0 0 0
14,Video Title 14,arts,54000,,2022-01-22 05:45:59,1 0 0 0 0 0 0 0 0 0
15,Video Title 15,arts,52000,,2018-03-25 13:01:16,1 0 0 0 0 0 0 0 0 0
16,Video Title 16,arts,38000,,2015-07-24 12:00:15,1 0 0 0 0 0 0 0 0 0
17,Video Title 17,arts,60000,,2021-08-20 18:05:08,1 0 0 0 0 0 0 0 0 0
18,Video Title 18,arts,33000,,2014-12-07 12:32:09,1 0 0 0 0 0 0 0 0 0
19,Video Title 19,arts,33000,,2017-08-05 06:35:37,1 0 0 0 0 0 0 0 0 0
20,Video Title 20,arts,41000,,2020-01-15 14:24:01,1 0 0 0 0 0 0 0 0 0
21,Video Title 21,arts,55000,,2014-06-10 14:15:31,1 0 0 0 0 0 0 0 0 0
22,Video Title 22,arts,44000,,2019-05-14 05:34:50,1 0 0 0 0 0 0 0 0 0
23,Video Title 23,arts,59000,,2017-10-15 15:36:41,1 0 0 0 0 0 0 0 0 0
24,Video Title 24,arts,47000,,2016-12-08 02:25:02,1 0 0 0 0 0 0 0 0 0
25,Video Title 25,arts,50000,,2020-03-09 14:19:49,1 0 0 0 0 0 0 0 0 0
26,Video Title 26,arts,57000,,2017-08-14 23:13:41,1 0 0 0 0 0 0 0 0 0
27,Video Title 27,arts,36000,,2021-01-17 16:29:34,1 0 0 0 0 0 0 0 0 0
28,Video Title 28,arts,31000,,2020-08-12 14:40:00,1 0 0 0 0 0 0 0 0 0
29,Video Title 29,biology,54000,,2016-11-24 06:23:08,0 1 0 0 0 0 0 0 0 0
30,Video Title 30,biology,32000,,2022-07-21 21:49:56,0 1 0 0 0 0 0 0 0 0
31,Video Title 31,biology,57000,,2015-01-06 15:43:30,0 1 0 0 0 0 0 0 0 0
32,Video Title 32,biology,38000,,2018-07-15 22:44:32,0 1 0 0 0 0 0 0 0 0
33,Video Title 33,biology,56000,,2017-08-26 15:17:55,0 1 0 0 0 0 0 0 0 0
34,Video Title 34,biology,41000,,2017-07-22 17:42:48,0 1 0 0 0 0 0 0 0 0
35,Video Title 35,biology,51000,,2016-09-03 11:15:25,0 1 0 0 0 0 0 0 0 0
36,Video Title 36,biology,59000,,2020-11-01 22:46:31,0 1 0 0 0 0 0 0 0 0
37,Video Title 37,biology,32000,,2020-02-04 07:52:33,0 1 0 0 0 0 0 0 0 0
38,Video Title 38,biology,35000,,2019-05-06 14:39:11,0 1 0 0 0 0 0 0 0 0
39,Video Title 39,biology,37000,,2015-08-22 10:03:30,0 1 0 0 0 0 0 0 0 0
40,Video Title 40,biology,42000,,2016-09-14 07:25:46,0 1 0 0 0 0 0 0 0 0
41,Video Title 41,biology,59000,,2020-05-26 23:58:44,0 1 0 0 0 0 0 0 0 0
42,Video Title 42,biology,47000,,2016-03-14 14:17:21,0 1 0 0 0 0 0 0 0 0
43,Video Title 43,biology,40000,,2022-06-06 09:49:41,0 1 0 0 0 0 0 0 0 0
44,Video Title 44,biology,54000,,2014-07-26 04:09:51,0 1 0 0 0 0 0 0 0 0
45,Video Title 45,biology,56000,,2014-04-30 03:58:52,0 1 0 0 0 0 0 0 0 0
46,Video Title 46,biology,40000,,2018-01-06 06:02:07,0 1 0 0 0 0 0 0 0 0
47,Video Title 47,biology,32000,,2016-02-12 02:05:49,0 1 0 0 0 0 0 0 0 0
48,Video Title 48,biology,60000,,2019-09-04 04:58:21,0 1 0 0 0 0 0 0 0 0
49,Video Title 49,biology,52000,,2017-02-24 13:46:56,0 1 0 0 0 0 0 0 0 0
50,Video Title 50,biology,50000,,2018-12-30 04:39:29,0 1 0 0 0 0 0 0 0 0
51,Video Title 51,biology,58000,,2023-02-23 02:22:07,0 1 0 0 0 0 0 0 0 0
52,Video Title 52,biology,44000,,2015-06-08 11:33:04,0 1 0 0 0 0 0 0 0 0
53,Video Title 53,biology,34000,,2016-06-21 04:34:10,0 1 0 0 0 0 0 0 0 0
54,Video Title 54,biology,47000,,2019-05-24 06:24:38,0 1 0 0 0 0 0 0 0 0
55,Video Title 55,biology,53000,,2019-11-06 17:43:57,0 1 0 0 0 0 0 0 0 0
56,Video Title 56,biology,58000,,2019-11-02 21:29:03,0 1 0 0 0 0 0 0 0 0
57,Video Title 57,business,41000,,2016-03-13 12:29:54,0 0 1 0 0 0 0 0 0 0
58,Video Title 58,business,34000,,2019-02-05 18:30:11,0 0 1 0 0 0 0 0 0 0
59,Video Title 59,business,32000,,2021-07-23 14:31:01,0 0 1 0 0 0 0 0 0 0
60,Video Title 60,business,57000,,2015-02-07 05:15:49,0 0 1 0 0 0 0 0 0 0
61,Video Title 61,business,50000,,2015-08-09 22:25:24,0 0 1 0 0 0 0 0 0 0
62,Video Title 62,business,51000,,2018-03-23 21:12:47,0 0 1 0 0 0 0 0 0 0
63,Video Title 63,business,32000,,2017-11-07 09:36:59,0 0 1 0 0 0 0 0 0 0
64,Video Title 64,business,49000,,2023-12-17 20:13:58,0 0 1 0 0 0 0 0 0 0
65,Video Title 65,business,46000,,2016-07-08 15:52:36,0 0 1 0 0 0 0 0 0 0
