id,username,bot_vector,user_vector
1,bot1,0.1 0.1 0.1 0.1 0.3 0.1 0.7 0.1 0.5 0.1,0.0030325 0.0000119 0.0000134 0.0000134 0.5138665 0.0000103 0.5991813 0.0000148 0.6139331 0.0000106
2,bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3232141 0.0000705 0.5243481 0.3471546 0.0000719 0.6113158 0.0000722 0.3554833 0.0000799 0.0000621
3,bot3,0.1 0.3 0.1 0.3 0.1 0.1 0.3 0.1 0.5 0.1,0.0095892 0.4658359 0.0000133 0.4755106 0.0000116 0.0000115 0.5057624 0.0000127 0.5486338 0.0000103
4,bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.3630260 0.0001041 0.5640381 0.0001228 0.0000989 0.7416691 0.0001218 0.0001196 0.0001194 0.0001043
5,bot5,0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1 0.9 0.1,0.0000307 0.0000044 0.0000044 0.0000044 0.6435163 0.0000044 0.4600800 0.0000044 0.6117297 0.0000044
6,bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,0.3016300 0.0000508 0.2858927 0.0000512 0.5619344 0.0000431 0.0000555 0.3763892 0.6081493 0.0000407
7,bot7,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.5 0.1,-0.0000116 0.0000052 0.0000105 0.0000052 0.6070542 0.0000052 0.5744098 0.0000140 0.5491253 0.0000052
8,bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3092875 0.0000396 0.6306834 0.0000450 0.0000387 0.6251579 0.0000450 0.3402313 0.0000436 0.0000343
9,bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,0.3594540 0.0000048 0.0000048 0.0000048 0.0000048 0.5679272 0.0000048 0.5363040 0.0000048 0.5105189
10,bot10,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.0008610 0.0000043 0.0000043 0.0000043 0.6676825 0.0000043 0.4123067 0.0000043 0.6198407 0.0000043
11,bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,0.4610840 0.0000049 0.0000049 0.0000049 0.0000049 0.5462300 0.0000049 0.5434167 0.0000049 0.4401508
12,bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,0.4619834 0.0000051 0.0000051 0.0000051 0.0000051 0.5902051 0.0000051 0.4466518 0.0000051 0.4886015
13,bot13,0.1 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.1 0.7,0.2761285 0.0000112 0.6879662 0.0000113 0.0000110 0.0000096 0.0000110 0.0000120 0.0000113 0.6711598
14,bot14,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.7,0.0042369 0.5650284 0.0000056 0.5132646 0.0000048 0.0000048 0.0000048 0.0000056 0.0000048 0.6459755
15,bot15,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,0.3055246 0.0000417 0.2875468 0.0000435 0.0000401 0.0000317 0.7085498 0.0000470 0.5673877 0.0000387
16,bot16,0.1 0.5 0.1 0.5 0.1 0.1 0.5 0.1 0.9 0.1,0.0000126 0.4332069 0.0000050 0.5118243 0.0000050 0.0000048 0.4563272 0.0000051 0.5849215 0.0000049
17,bot17,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,0.2803605 0.0000229 0.2581025 0.0000227 0.0000220 0.0000197 0.6258487 0.0000252 0.6805105 0.0000211
18,bot18,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,0.3363454 0.0000699 0.5035124 0.0000810 0.0000742 0.0000652 0.0000755 0.3840561 0.0000815 0.6970279
19,bot19,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.7 0.1,-0.0000052 0.0000045 0.0000045 0.0000045 0.5971814 0.0000045 0.5984442 0.0000062 0.5340776 0.0000045
20,bot20,0.7 0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.9,0.4266562 0.0000047 0.0000047 0.0000047 0.0000047 0.4331670 0.0000047 0.5708477 0.0000047 0.5517823
21,bot21,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.5,0.2627623 0.0000155 0.0000182 0.0000151 0.0000149 0.7525467 0.0000156 0.0000392 0.0000153 0.6038455
22,bot22,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.3128745 0.0000312 0.5727793 0.0000338 0.0000298 0.7576499 0.0000361 0.0000385 0.0000337 0.0000310
23,bot23,0.1 0.1 0.1 0.1 0.9 0.1 0.9 0.1 0.7 0.1,0.0000206 0.0000044 0.0000044 0.0000044 0.6256631 0.0000044 0.5778562 0.0000044 0.5240495 0.0000044
24,bot24,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,-0.0000324 0.0000152 0.5770918 0.0007441 0.0000144 0.8162806 0.0255026 0.0003757 0.0000151 0.0000121
25,bot25,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.5,0.4472649 0.0000070 0.0000081 0.0000079 0.0000067 0.4999482 0.0000074 0.5192974 0.0000081 0.5294677
26,bot26,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.0000447 0.0000043 0.0000043 0.0000043 0.6623418 0.0000043 0.4154665 0.0000044 0.6234508 0.0000043
27,bot27,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.7 0.1,-0.0000300 0.0000134 0.0000577 0.0000317 0.0000131 0.0000124 0.7200218 0.0000337 0.6939515 0.0000124
28,bot29,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.3,0.3765001 0.0002323 0.5964757 0.0002329 0.0002215 0.0001852 0.0002300 0.0002446 0.0002401 0.7088470
29,bot30,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.3 0.1,0.0027063 0.0000090 0.0000101 0.0000091 0.6263556 0.0000077 0.5882993 0.0000157 0.5114442 0.0000077
30,bot31,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.2769717 0.0000158 0.5481513 0.0000175 0.0000152 0.7891874 0.0000172 0.0000180 0.0000158 0.0000147
31,bot32,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.1,0.3093030 0.6841919 0.0000326 0.6604643 0.0000276 0.0000256 0.0000320 0.0000326 0.0000275 0.0000257
32,bot33,0.1 0.3 0.1 0.7 0.1 0.1 0.1 0.1 0.1 0.5,0.2519541 0.4695559 0.0000115 0.6143102 0.0000093 0.0000082 0.0000096 0.0000115 0.0000096 0.5819446
33,bot34,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3316358 0.0000747 0.5898895 0.0000710 0.0000650 0.6418830 0.0000763 0.3606026 0.0000713 0.0000615
34,bot35,0.1 0.9 0.1 0.3 0.1 0.1 0.3 0.1 0.7 0.1,0.0000320 0.5795044 0.0000046 0.3964332 0.0000046 0.0000046 0.4208946 0.0000046 0.5743371 0.0000046
35,bot36,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.5,0.3035637 0.0000308 0.0000367 0.0000351 0.0000275 0.7053993 0.0000298 0.0000373 0.0000291 0.6405161
36,bot37,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.9 0.1 0.3,0.4032938 0.0000042 0.0000048 0.0000045 0.0000045 0.4659638 0.0000045 0.6594665 0.0000046 0.4305064
37,bot39,0.1 0.5 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.9,0.0029738 0.4845697 0.0000053 0.5526191 0.0000045 0.0000045 0.0000045 0.0000045 0.0000045 0.6780822
38,bot41,0.1 0.1 0.9 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.0093820 0.0000204 0.7370224 0.0000218 0.0000205 0.6758032 0.0000219 0.0000224 0.0000219 0.0000193
39,bot42,0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.7,0.2758951 0.0000284 0.0000381 0.0000322 0.0000313 0.6869193 0.0000333 0.0000348 0.0000321 0.6723271
40,bot43,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1,0.0031913 0.0000119 0.0000134 0.0000129 0.0000119 0.0000107 0.6793671 0.0000337 0.7337916 0.0000112
41,bot44,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.3,0.2811864 0.0000225 0.0000251 0.0000243 0.0000208 0.8054335 0.0000237 0.0015497 0.0000216 0.5217363
42,bot45,0.1 0.1 0.3 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.2981395 0.0000405 0.4960023 0.0000396 0.0000351 0.7446863 0.0000448 0.3324709 0.0000369 0.0000366
43,bot46,0.5 0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3,0.4758938 0.0000064 0.0000081 0.0000078 0.0000068 0.5080743 0.0000077 0.5193719 0.0000073 0.4956193
44,bot47,0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.3 0.1,0.2680877 0.0000217 0.0000389 0.0000217 0.5622242 0.0000173 0.5868775 0.0000247 0.5173081 0.0000178
45,bot48,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.3,0.3080183 0.0000396 0.2837126 0.0000435 0.0000370 0.7485755 0.0000438 0.0000438 0.0000409 0.5140687
46,bot49,0.1 0.7 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.5,0.0000494 0.5086556 0.0000046 0.6536670 0.0000045 0.0000045 0.0000045 0.0000046 0.0000045 0.5603472
47,bot50,0.1 0.9 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.9,0.0000277 0.5604554 0.0000045 0.5412643 0.0000045 0.0000045 0.0000045 0.0000045 0.0000045 0.6268355
48,bot51,0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3 0.1,0.2659137 0.0000280 0.0000316 0.0000290 0.6469772 0.0000210 0.5161569 0.0000735 0.4942595 0.0000245
49,bot52,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.9 0.1,0.0000171 0.0000047 0.0000047 0.0000047 0.5789397 0.0000047 0.5663024 0.0000047 0.5866263 0.0000047
50,bot53,0.1 0.3 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.3,0.2863628 0.4507722 0.2721687 0.5369945 0.0000214 0.0000210 0.0000301 0.3273472 0.0000247 0.4951825
51,bot54,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,0.2982596 0.0000423 0.0000470 0.0000457 0.0000428 0.0000372 0.7148213 0.3605576 0.5196825 0.0000372
52,bot55,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,-0.0000323 0.0000163 0.5298238 0.0006737 0.0000158 0.7989630 0.2845064 0.0006921 0.0000157 0.0000149
53,bot56,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.3192532 0.0000361 0.5703046 0.0000432 0.0000352 0.7568554 0.0000413 0.0000445 0.0000370 0.0000290
54,bot57,0.1 0.3 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.3,0.0053854 0.4627797 0.0000123 0.7372088 0.0000111 0.0000095 0.0000122 0.0000123 0.0000111 0.4922693
55,bot58,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.5,0.4107753 0.0000076 0.0000077 0.0000079 0.0000076 0.4781067 0.0000075 0.5607693 0.0000079 0.5368569
56,bot59,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1,0.2724175 0.0000171 0.0000206 0.0000188 0.0000171 0.0000142 0.7517556 0.0000214 0.6005433 0.0000142
57,bot60,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,0.3259810 0.0000648 0.5467444 0.0000765 0.0000687 0.0000603 0.0000766 0.3631517 0.0000746 0.6803880
58,bot61,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.7 0.1,0.0029618 0.0000120 0.0000143 0.0000124 0.0000107 0.0000114 0.7305771 0.0000128 0.6828237 0.0000112
59,bot62,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.7,0.2457006 0.0000102 0.0000119 0.0000111 0.0000102 0.7273822 0.0000107 0.0000112 0.0000108 0.6407389
60,bot63,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1,0.2846962 0.0000136 0.0000172 0.0000135 0.0000134 0.0000133 0.7283404 0.0000177 0.6232723 0.0000135
61,bot64,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3327078 0.0000598 0.5772248 0.3582566 0.0000569 0.6540407 0.0000619 0.0000681 0.0000604 0.0000563
62,bot65,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.7 0.1,0.2965584 0.0000283 0.2649153 0.0000314 0.5484484 0.0000255 0.0000319 0.3273077 0.6587466 0.0000260
63,bot66,0.9 0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3,0.5690509 0.0000044 0.0000044 0.0000044 0.0000044 0.5219182 0.0000044 0.4466379 0.0000044 0.4519923
64,bot67,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.3,0.3463032 0.0001359 0.5801117 0.0001470 0.0001248 0.0001181 0.0001380 0.3893983 0.0001469 0.6260299
65,bot68,0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.3 0.1,0.0020066 0.0000055 0.0000079 0.0000070 0.5863955 0.0000058 0.6880895 0.0000074 0.4273982 0.0000058
66,bot70,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.3 0.1,0.3281327 0.0000810 0.3029140 0.0000867 0.5786470 0.0000681 0.0000782 0.3762207 0.5693836 0.0000662
67,bot71,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1,0.0047785 0.0000258 0.0000301 0.0000300 0.0000279 0.0000239 0.7154880 0.0000307 0.6986087 0.0000212
68,bot72,0.1 0.1 0.7 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.3037016 0.0000326 0.6635740 0.0000381 0.0000360 0.6836921 0.0000385 0.0000423 0.0000352 0.0000307
69,bot73,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.2986194 0.0000304 0.6125000 0.0000300 0.0000277 0.7318940 0.0000313 0.0011896 0.0000321 0.0000247
70,bot74,0.1 0.3 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.9,0.2570969 0.4442512 0.0000120 0.4815139 0.0000090 0.0000083 0.0000104 0.0000120 0.0000106 0.7104129
71,bot75,0.1 0.3 0.1 0.3 0.1 0.1 0.5 0.1 0.7 0.1,0.0016943 0.4130406 0.0000063 0.4653212 0.0000050 0.0000049 0.5091107 0.0000063 0.5947075 0.0000049
72,bot76,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3099739 0.0000422 0.6561063 0.0000465 0.0000409 0.5916849 0.0000490 0.3512118 0.0000436 0.0000382
73,bot77,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.7,0.2760464 0.0000228 0.0000278 0.0000243 0.0000215 0.6857742 0.0000246 0.0000286 0.0000232 0.6734331
74,bot78,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3215030 0.0000549 0.7040836 0.0000543 0.0000491 0.6331683 0.0000558 0.0000579 0.0000546 0.0000420
75,bot79,0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5 0.1,0.2614987 0.0000116 0.0000127 0.0000120 0.6166798 0.0000096 0.5200866 0.0000253 0.5299381 0.0000108
76,bot80,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.3175115 0.0000714 0.4989133 0.0000710 0.0000679 0.7239023 0.0000716 0.3552990 0.0000702 0.0000647
77,bot81,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.3075011 0.0000373 0.5665956 0.0000393 0.0000351 0.7644688 0.0000374 0.0000409 0.0000374 0.0000342
78,bot82,0.1 0.1 0.7 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.2671963 0.0000100 0.5762256 0.0000104 0.0000096 0.7723794 0.0000107 0.0005232 0.0000100 0.0000081
79,bot83,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3599834 0.0001259 0.5276716 0.0001436 0.0001313 0.6552261 0.0001419 0.4033028 0.0001497 0.0001234
80,bot84,0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.3 0.1,0.2652613 0.0000141 0.0000168 0.0000144 0.7006733 0.0000137 0.4561957 0.0000177 0.4801864 0.0000143
81,bot85,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,0.2953194 0.0000277 0.0001126 0.0000310 0.0000278 0.0000232 0.6361533 0.0000314 0.7128081 0.0000247
82,bot86,0.1 0.1 0.9 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0054279 0.0000061 0.6434363 0.0000068 0.0000061 0.7654804 0.0000068 0.0000076 0.0000073 0.0000055
83,bot87,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.3 0.1,0.3232838 0.0000876 0.2886319 0.0000935 0.6291700 0.0000800 0.0000949 0.3594692 0.5358230 0.0000826
