id,username,bot_vector,user_vector
1,bot1,0.1 0.1 0.1 0.1 0.3 0.1 0.7 0.1 0.5 0.1,0.0001099 0.0000143 0.0000163 0.0000163 0.5282801 0.0000128 0.6414052 0.0000184 0.5563448 0.0000133
2,bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.5197905 0.0011949 0.8542855 0.0013561 0.0010946 0.0018422 0.0012874 0.0012848 0.0013309 0.0010496
3,bot3,0.1 0.3 0.1 0.3 0.1 0.1 0.3 0.1 0.5 0.1,0.0000947 0.4821229 0.0000137 0.4905561 0.0000125 0.0000121 0.4656339 0.0000146 0.5568638 0.0000121
4,bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.0082229 0.0001491 0.6313401 0.0001665 0.0001474 0.7754624 0.0001501 0.0001731 0.0001607 0.0001479
5,bot5,0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1 0.9 0.1,0.0000081 0.0000044 0.0000044 0.0000044 0.6255663 0.0000044 0.5039290 0.0000044 0.5955857 0.0000044
6,bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,0.0118785 0.0001345 0.0001541 0.0001259 0.6751317 0.0001041 0.0001297 0.0001550 0.7376015 0.0001191
7,bot7,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.5 0.1,0.0000399 0.0000051 0.0000062 0.0000052 0.6194496 0.0000051 0.5847466 0.0000059 0.5237877 0.0000051
8,bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.4120618 0.0002356 0.9111556 0.0002682 0.0002208 0.0003295 0.0002543 0.0002646 0.0002584 0.0002186
9,bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,0.3568698 0.0000047 0.0000047 0.0000047 0.0000047 0.5512427 0.0000047 0.5310108 0.0000047 0.5355399
10,bot10,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.0000428 0.0000071 0.0000082 0.0000071 0.7258887 0.0000054 0.0000268 0.0000090 0.6878122 0.0000057
11,bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,0.6704489 0.0000348 0.0000469 0.0000425 0.0000388 0.0000734 0.0000439 0.7419557 0.0000432 0.0000671
12,bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,0.5050940 0.0000052 0.0000063 0.0000063 0.0000055 0.6290577 0.0000053 0.0014265 0.0000055 0.5909014
13,bot13,0.1 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.1 0.7,0.0003410 0.0000138 0.7053379 0.0000157 0.0000136 0.0000122 0.0000148 0.0000177 0.0000168 0.7088712
14,bot14,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.7,0.0000361 0.5438020 0.0000069 0.5723027 0.0000051 0.0000051 0.0000061 0.0000052 0.0000051 0.6137989
15,bot15,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,0.0070867 0.0000805 0.0000954 0.0000882 0.0000853 0.0000692 0.8165395 0.0001017 0.5772460 0.0000708
16,bot16,0.1 0.5 0.1 0.5 0.1 0.1 0.5 0.1 0.9 0.1,0.0000064 0.4649452 0.0000050 0.4819255 0.0000050 0.0000050 0.4794853 0.0000050 0.5671575 0.0000050
17,bot17,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,0.0015190 0.0000495 0.0000647 0.0000581 0.0000517 0.0000498 0.6668730 0.0000593 0.7451698 0.0000472
18,bot18,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,0.0100116 0.0001211 0.6140770 0.0001328 0.0001158 0.0001048 0.0001199 0.0001515 0.0001308 0.7891825
19,bot19,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.7 0.1,0.0000119 0.0000045 0.0000045 0.0000045 0.5658935 0.0000045 0.5996807 0.0000045 0.5658159 0.0000045
20,bot20,0.7 0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.9,0.4801084 0.0000043 0.0000043 0.0000043 0.0000043 0.0000044 0.0000043 0.6231516 0.0000043 0.6173961
21,bot21,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.5,0.0004828 0.0000209 0.0000232 0.0000234 0.0000206 0.7882886 0.0000223 0.0000245 0.0000229 0.6153055
22,bot22,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0010153 0.0000516 0.6124306 0.0000506 0.0000463 0.7905237 0.0000541 0.0000551 0.0000502 0.0000438
23,bot23,0.1 0.1 0.1 0.1 0.9 0.1 0.9 0.1 0.7 0.1,0.0000051 0.0000046 0.0000046 0.0000046 0.6133278 0.0000046 0.5606457 0.0000047 0.5563321 0.0000046
24,bot24,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0005228 0.0000214 0.5805224 0.0000212 0.0000207 0.8142441 0.0000214 0.0000248 0.0000221 0.0000183
25,bot25,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.5,0.4951852 0.0000140 0.0000172 0.0000155 0.0000140 0.0000240 0.0000162 0.6392522 0.0000171 0.5883437
26,bot26,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.0000434 0.0000072 0.0000092 0.0000074 0.7223514 0.0000063 0.0000134 0.0000090 0.6915262 0.0000063
27,bot27,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.7 0.1,-0.0000378 0.0000174 0.0000218 0.0000197 0.0000181 0.0000164 0.7415807 0.0000225 0.6708636 0.0000165
28,bot29,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.3,0.3749558 0.0002572 0.6073949 0.0003045 0.0002898 0.0002465 0.0002839 0.0003118 0.0002826 0.7003420
29,bot30,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.3 0.1,0.0000753 0.0000103 0.0000112 0.0000113 0.6498641 0.0000084 0.6120707 0.0000125 0.4506064 0.0000097
30,bot31,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0004625 0.0000188 0.5776312 0.0000203 0.0000179 0.8162977 0.0000221 0.0000227 0.0000194 0.0000173
31,bot32,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.1,0.0005444 0.7040332 0.0000562 0.7101669 0.0000453 0.0000405 0.0000488 0.0000586 0.0000487 0.0000425
32,bot33,0.1 0.3 0.1 0.7 0.1 0.1 0.1 0.1 0.1 0.5,-0.0000315 0.4614733 0.0000165 0.6703308 0.0000142 0.0000127 0.0000149 0.0000168 0.0000161 0.5811187
33,bot34,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,-0.0005698 0.0002504 0.7441878 0.0002667 0.0002293 0.6679698 0.0002182 0.0002833 0.0002398 0.0002108
34,bot35,0.1 0.9 0.1 0.3 0.1 0.1 0.3 0.1 0.7 0.1,0.0000294 0.6470509 0.0000050 0.0000104 0.0000050 0.0000041 0.4455957 0.0000050 0.6186837 0.0000045
35,bot36,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.5,0.0009888 0.0000407 0.0000501 0.0000421 0.0000408 0.7436258 0.0000437 0.0000533 0.0000408 0.6685953
36,bot37,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.9 0.1 0.3,0.5074890 0.0000381 0.0000459 0.0000425 0.0000363 0.0000610 0.0000421 0.8616582 0.0000403 0.0000670
37,bot39,0.1 0.5 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.9,0.0000310 0.5028684 0.0000052 0.5744596 0.0000048 0.0000048 0.0000049 0.0000053 0.0000048 0.6458479
38,bot41,0.1 0.1 0.9 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.0003006 0.0000234 0.7112272 0.0000224 0.0000224 0.7029621 0.0000246 0.0000253 0.0000218 0.0000197
39,bot42,0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.7,0.0009854 0.0000380 0.0000449 0.0000382 0.0000341 0.6963369 0.0000385 0.0000444 0.0000360 0.7177144
40,bot43,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1,0.0001030 0.0000148 0.0000159 0.0000163 0.0000121 0.0000119 0.6654720 0.0000160 0.7464228 0.0000120
41,bot44,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.3,0.0008580 0.0000356 0.0000417 0.0000414 0.0000352 0.8457463 0.0000370 0.0000414 0.0000357 0.5335846
42,bot45,0.1 0.1 0.3 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0015913 0.0000634 0.5605450 0.0000811 0.0000721 0.8281224 0.0000814 0.0000837 0.0000844 0.0000666
43,bot46,0.5 0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3,0.5411689 0.0000189 0.0000226 0.0000218 0.0000147 0.6195442 0.0000206 0.5685958 0.0000214 0.0000305
44,bot47,0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.3 0.1,0.0004028 0.0000329 0.0000371 0.0000363 0.5316469 0.0000303 0.6383466 0.0000383 0.5566552 0.0000277
45,bot48,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.3,0.0151937 0.0000748 0.0000858 0.0000822 0.0000707 0.8055976 0.0000787 0.0000893 0.0000826 0.5922682
46,bot49,0.1 0.7 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.5,0.0001294 0.6576774 0.0000188 0.7532997 0.0000156 0.0000144 0.0000189 0.0000188 0.0000175 0.0000296
47,bot50,0.1 0.9 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.9,0.0000097 0.5680160 0.0000044 0.5231831 0.0000044 0.0000044 0.0000044 0.0000045 0.0000044 0.6353245
48,bot51,0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3 0.1,0.0004768 0.0000415 0.0000478 0.0000434 0.6765810 0.0000366 0.5283774 0.0000459 0.5128891 0.0000384
49,bot52,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.9 0.1,0.0000064 0.0000046 0.0000046 0.0000046 0.5575578 0.0000046 0.5734129 0.0000046 0.6002724 0.0000046
50,bot53,0.1 0.3 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.3,-0.0002040 0.5450378 0.0001032 0.5599067 0.0000892 0.0000793 0.0000962 0.0001146 0.0000873 0.6240498
51,bot54,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,0.0060332 0.0000804 0.0000872 0.0000839 0.0000735 0.0000607 0.7804038 0.0000862 0.6252467 0.0000731
52,bot55,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0005035 0.0000218 0.5519332 0.0000236 0.0000219 0.8338881 0.0000236 0.0000255 0.0000236 0.0000185
53,bot56,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0008661 0.0000429 0.6121920 0.0000440 0.0000393 0.7907086 0.0000467 0.0000509 0.0000427 0.0000378
54,bot57,0.1 0.3 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.3,0.0303069 0.0002267 0.0001450 0.9995405 0.0001213 0.0001081 0.0001414 0.0001651 0.0001505 0.0002197
55,bot58,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.5,0.6112253 0.0001382 0.0001713 0.0001531 0.0001377 0.0002446 0.0001581 0.7914565 0.0001511 0.0002649
56,bot59,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1,0.0003238 0.0000256 0.0000288 0.0000256 0.0000251 0.0000193 0.7869720 0.0000299 0.6169886 0.0000229
57,bot60,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,0.0153472 0.0001269 0.5969817 0.0001511 0.0001277 0.0001209 0.0001356 0.0001543 0.0001336 0.8021080
58,bot61,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.7 0.1,0.0001115 0.0000136 0.0000157 0.0000134 0.0000126 0.0000121 0.7322365 0.0000145 0.6810504 0.0000122
59,bot62,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.7,-0.0000329 0.0000153 0.0000172 0.0000153 0.0000140 0.7372871 0.0000162 0.0000182 0.0000140 0.6755796
60,bot63,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1,0.0003025 0.0000233 0.0000277 0.0000261 0.0000224 0.0000221 0.7973120 0.0000310 0.6035673 0.0000205
61,bot64,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.0183324 0.0001350 0.6925149 0.0001439 0.0001383 0.7211705 0.0001489 0.0001725 0.0001389 0.0001247
62,bot65,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.7 0.1,0.0011134 0.0000766 0.0000921 0.0000841 0.6393640 0.0000705 0.0000841 0.0000983 0.7689034 0.0000655
63,bot66,0.9 0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.3,0.8013669 0.0000379 0.0000418 0.0000418 0.0000372 0.0000606 0.0000406 0.5981732 0.0000393 0.0000600
64,bot67,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.3,0.5340718 0.0012501 0.8454296 0.0014910 0.0012486 0.0010638 0.0013553 0.0015066 0.0013618 0.0019034
65,bot68,0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.3 0.1,0.0002864 0.0000234 0.0000287 0.0000249 0.6565892 0.0000194 0.7542483 0.0000288 0.0000361 0.0000197
66,bot70,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.3 0.1,0.3711103 0.0002284 0.0002517 0.0002461 0.6885684 0.0001811 0.0002215 0.0002560 0.6230171 0.0001796
67,bot71,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1,0.0003750 0.0000296 0.0000345 0.0000310 0.0000272 0.0000258 0.6927531 0.0000349 0.7211747 0.0000263
68,bot72,0.1 0.1 0.7 0.1 0.1 0.5 0.1 0.1 0.1 0.1,-0.0001204 0.0000566 0.6956733 0.0000614 0.0000512 0.7183583 0.0000591 0.0000648 0.0000581 0.0000489
69,bot73,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0009024 0.0000389 0.6301031 0.0000479 0.0000397 0.7765109 0.0000433 0.0000453 0.0000410 0.0000358
70,bot74,0.1 0.3 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.9,-0.0000266 0.4702401 0.0000145 0.4927402 0.0000126 0.0000113 0.0000140 0.0000142 0.0000138 0.7321758
71,bot75,0.1 0.3 0.1 0.3 0.1 0.1 0.5 0.1 0.7 0.1,-0.0000127 0.4301142 0.0000082 0.4923078 0.0000070 0.0000064 0.5143820 0.0000087 0.5550189 0.0000064
72,bot76,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.4272679 0.0002638 0.9041247 0.0002881 0.0002355 0.0004340 0.0002590 0.0003184 0.0002804 0.0002165
73,bot77,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.7,0.0007147 0.0000306 0.0000363 0.0000343 0.0000285 0.7422508 0.0000332 0.0000371 0.0000303 0.6701218
74,bot78,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.4266850 0.0002520 0.9043999 0.0002974 0.0002532 0.0003725 0.0002867 0.0003062 0.0002738 0.0002482
75,bot79,0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5 0.1,-0.0000419 0.0000196 0.0000226 0.0000218 0.6332977 0.0000171 0.4967670 0.0000239 0.5934278 0.0000174
76,bot80,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.0213001 0.0001412 0.6241125 0.0001485 0.0001269 0.7810440 0.0001415 0.0001648 0.0001503 0.0001204
77,bot81,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0009121 0.0000472 0.6282634 0.0000492 0.0000440 0.7780002 0.0000480 0.0000556 0.0000498 0.0000445
78,bot82,0.1 0.1 0.7 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0001824 0.0000142 0.5857507 0.0000144 0.0000141 0.8104913 0.0000145 0.0000163 0.0000145 0.0000107
79,bot83,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.5122274 0.0011651 0.8588422 0.0012245 0.0011009 0.0017758 0.0012681 0.0013964 0.0012110 0.0009865
80,bot84,0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.3 0.1,0.0002771 0.0000209 0.0000235 0.0000222 0.6967234 0.0000190 0.4738970 0.0000237 0.5385146 0.0000186
81,bot85,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,0.0006804 0.0000448 0.0000533 0.0000471 0.0000450 0.0000408 0.7019453 0.0000527 0.7122305 0.0000425
82,bot86,0.1 0.1 0.9 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.0000894 0.0000077 0.6531745 0.0000081 0.0000055 0.7572074 0.0000077 0.0000088 0.0000077 0.0000053
83,bot87,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.3 0.1,-0.0009603 0.0003923 0.0004660 0.0004485 0.7337428 0.0003223 0.0004364 0.0004921 0.6794257 0.0003919
84,bot89,0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.7 0.1,0.0000887 0.0000118 0.0000143 0.0000130 0.6146768 0.0000108 0.5020259 0.0000140 0.6083934 0.0000118
85,bot90,0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.9 0.1,-0.0000546 0.0000240 0.0000307 0.0000273 0.6652893 0.0000225 0.0000257 0.0000307 0.7465856 0.0000233
86,bot91,0.1 0.1 0.7 0.1 0.1 0.7 0.1 0.1 0.1 0.1,0.0005558 0.0000240 0.6296762 0.0000286 0.0000240 0.7768575 0.0000251 0.0000299 0.0000250 0.0000233
87,bot92,0.1 0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.7,0.3878506 0.0002266 0.0002733 0.0002531 0.0002312 0.0003521 0.0002473 0.0002660 0.0002355 0.9217220
