user,vector,video_id,categories,action_type,action_duration,video_duration
bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,1,arts,,10000,50000
bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,1,arts,,5500,50000
bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,1,arts,,3000,50000
bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,1,arts,,2000,50000
bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,1,arts,,13500,50000
bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,1,arts,like,32000,50000
bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,1,arts,,25000,50000
bot13,0.1 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.1 0.7,1,arts,,2000,50000
bot15,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,1,arts,,9000,50000
bot17,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,1,arts,,2000,50000
bot18,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,1,arts,,10000,50000
bot20,0.7 0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.9,1,arts,like,32500,50000
bot21,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.5,1,arts,,3000,50000
bot22,0.1 0.1 0.5 0.1 0.1 0.7 0.1 0.1 0.1 0.1,1,arts,,6000,50000
bot25,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.5 0.1 0.5,1,arts,,14000,50000
bot29,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.3,1,arts,,6500,50000
bot31,0.1 0.1 0.5 0.1 0.1 0.9 0.1 0.1 0.1 0.1,1,arts,,5000,50000
bot32,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.1,1,arts,,1500,50000
bot33,0.1 0.3 0.1 0.7 0.1 0.1 0.1 0.1 0.1 0.5,1,arts,,2000,50000
bot34,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,1,arts,,2500,50000
bot36,0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.1 0.1 0.5,1,arts,,3000,50000
bot37,0.3 0.1 0.1 0.1 0.1 0.3 0.1 0.9 0.1 0.3,1,arts,like,15500,50000
bot42,0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.7,1,arts,,2000,50000
bot44,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.3,1,arts,,8000,50000
