id,title,category,duration,tags,publish_date,vector
344,Video Title 344,arts,31000,,2023-12-31 15:55:32,1 0 0 0 0 0 0 0 0 0
1597,Video Title 1597,chemistry,59000,,2023-12-31 15:12:02,0 0 0 1 0 0 0 0 0 0
1356,Video Title 1356,business,53000,,2023-12-30 10:30:28,0 0 1 0 0 0 0 0 0 0
131,Video Title 131,arts,50000,,2023-12-29 09:08:39,1 0 0 0 0 0 0 0 0 0
3785,Video Title 3785,music,50000,,2023-12-28 04:09:55,0 0 0 0 0 0 0 1 0 0
2560,Video Title 2560,literature,58000,,2023-12-27 08:35:17,0 0 0 0 0 1 0 0 0 0
1011,Video Title 1011,business,59000,,2023-12-26 23:53:12,0 0 1 0 0 0 0 0 0 0
697,Video Title 697,biology,31000,,2023-12-26 20:11:59,0 1 0 0 0 0 0 0 0 0
3021,Video Title 3021,mathematics,47000,,2023-12-26 06:46:51,0 0 0 0 0 0 1 0 0 0
985,Video Title 985,biology,49000,,2023-12-25 05:59:32,0 1 0 0 0 0 0 0 0 0
4985,Video Title 4985,psychology,49000,,2023-12-24 16:25:25,0 0 0 0 0 0 0 0 0 1
1546,Video Title 1546,chemistry,41000,,2023-12-23 14:45:31,0 0 0 1 0 0 0 0 0 0
4925,Video Title 4925,psychology,55000,,2023-12-23 14:04:28,0 0 0 0 0 0 0 0 0 1
3480,Video Title 3480,mathematics,39000,,2023-12-22 17:08:57,0 0 0 0 0 0 1 0 0 0
3073,Video Title 3073,mathematics,53000,,2023-12-22 09:22:32,0 0 0 0 0 0 1 0 0 0
1015,Video Title 1015,business,44000,,2023-12-22 00:11:11,0 0 1 0 0 0 0 0 0 0
1208,Video Title 1208,business,31000,,2023-12-21 16:14:59,0 0 1 0 0 0 0 0 0 0
860,Video Title 860,biology,53000,,2023-12-21 15:34:34,0 1 0 0 0 0 0 0 0 0
3637,Video Title 3637,music,50000,,2023-12-21 02:35:01,0 0 0 0 0 0 0 1 0 0
485,Video Title 485,arts,35000,,2023-12-20 20:25:24,1 0 0 0 0 0 0 0 0 0
2710,Video Title 2710,literature,32000,,2023-12-20 09:10:54,0 0 0 0 0 1 0 0 0 0
4320,Video Title 4320,physics,41000,,2023-12-20 02:22:28,0 0 0 0 0 0 0 0 1 0
2449,Video Title 2449,computer_science,45000,,2023-12-19 16:52:58,0 0 0 0 1 0 0 0 0 0
4145,Video Title 4145,physics,39000,,2023-12-18 05:32:45,0 0 0 0 0 0 0 0 1 0
2212,Video Title 2212,computer_science,40000,,2023-12-17 21:46:08,0 0 0 0 1 0 0 0 0 0
64,Video Title 64,arts,49000,,2023-12-17 20:13:58,1 0 0 0 0 0 0 0 0 0
169,Video Title 169,arts,48000,,2023-12-17 18:02:55,1 0 0 0 0 0 0 0 0 0
1092,Video Title 1092,business,45000,,2023-12-17 06:55:13,0 0 1 0 0 0 0 0 0 0
3657,Video Title 3657,music,60000,,2023-12-16 19:01:32,0 0 0 0 0 0 0 1 0 0
3165,Video Title 3165,mathematics,43000,,2023-12-16 06:04:33,0 0 0 0 0 0 1 0 0 0
2211,Video Title 2211,computer_science,51000,,2023-12-15 11:22:59,0 0 0 0 1 0 0 0 0 0
3600,Video Title 3600,music,59000,,2023-12-14 15:40:11,0 0 0 0 0 0 0 1 0 0
4812,Video Title 4812,psychology,57000,,2023-12-14 03:19:38,0 0 0 0 0 0 0 0 0 1
976,Video Title 976,biology,49000,,2023-12-14 02:35:57,0 1 0 0 0 0 0 0 0 0
2151,Video Title 2151,computer_science,52000,,2023-12-12 20:25:36,0 0 0 0 1 0 0 0 0 0
2225,Video Title 2225,computer_science,49000,,2023-12-12 13:59:18,0 0 0 0 1 0 0 0 0 0
706,Video Title 706,biology,42000,,2023-12-12 09:23:29,0 1 0 0 0 0 0 0 0 0
4344,Video Title 4344,physics,53000,,2023-12-12 03:53:59,0 0 0 0 0 0 0 0 1 0
909,Video Title 909,biology,42000,,2023-12-12 00:25:14,0 1 0 0 0 0 0 0 0 0
438,Video Title 438,arts,32000,,2023-12-09 19:13:39,1 0 0 0 0 0 0 0 0 0
4513,Video Title 4513,psychology,60000,,2023-12-09 06:00:35,0 0 0 0 0 0 0 0 0 1
4524,Video Title 4524,psychology,38000,,2023-12-08 20:51:47,0 0 0 0 0 0 0 0 0 1
3547,Video Title 3547,music,54000,,2023-12-08 14:05:46,0 0 0 0 0 0 0 1 0 0
3578,Video Title 3578,music,52000,,2023-12-07 05:37:14,0 0 0 0 0 0 0 1 0 0
