id,title,category,duration,tags,publish_date,vector
344,Video Title 344,arts chemistry,31000,,2023-12-31 15:55:32,1 0 0 1 0 0 0 0 0 0
1597,Video Title 1597,arts biology computer_science,59000,,2023-12-31 15:12:02,1 1 0 0 1 0 0 0 0 0
1356,Video Title 1356,literature psychology,53000,,2023-12-30 10:30:28,0 0 0 0 0 1 0 0 0 1
131,Video Title 131,computer_science,50000,,2023-12-29 09:08:39,0 0 0 0 1 0 0 0 0 0
3785,Video Title 3785,business mathematics physics,50000,,2023-12-28 04:09:55,0 0 1 0 0 0 1 0 1 0
2560,Video Title 2560,biology business chemistry,58000,,2023-12-27 08:35:17,0 1 1 1 0 0 0 0 0 0
1011,Video Title 1011,chemistry mathematics,59000,,2023-12-26 23:53:12,0 0 0 1 0 0 1 0 0 0
697,Video Title 697,biology music,31000,,2023-12-26 20:11:59,0 1 0 0 0 0 0 1 0 0
3021,Video Title 3021,biology computer_science physics,47000,,2023-12-26 06:46:51,0 1 0 0 1 0 0 0 1 0
985,Video Title 985,chemistry literature,49000,,2023-12-25 05:59:32,0 0 0 1 0 1 0 0 0 0
1546,Video Title 1546,arts biology business,41000,,2023-12-23 14:45:31,1 1 1 0 0 0 0 0 0 0
3480,Video Title 3480,business chemistry psychology,39000,,2023-12-22 17:08:57,0 0 1 1 0 0 0 0 0 1
3073,Video Title 3073,biology literature mathematics,53000,,2023-12-22 09:22:32,0 1 0 0 0 1 1 0 0 0
1015,Video Title 1015,chemistry mathematics,44000,,2023-12-22 00:11:11,0 0 0 1 0 0 1 0 0 0
1208,Video Title 1208,computer_science physics,31000,,2023-12-21 16:14:59,0 0 0 0 1 0 0 0 1 0
860,Video Title 860,business mathematics,53000,,2023-12-21 15:34:34,0 0 1 0 0 0 1 0 0 0
3637,Video Title 3637,business computer_science psychology,50000,,2023-12-21 02:35:01,0 0 1 0 1 0 0 0 0 1
485,Video Title 485,arts physics,35000,,2023-12-20 20:25:24,1 0 0 0 0 0 0 0 1 0
2710,Video Title 2710,biology business physics,32000,,2023-12-20 09:10:54,0 1 1 0 0 0 0 0 1 0
4320,Video Title 4320,chemistry physics psychology,41000,,2023-12-20 02:22:28,0 0 0 1 0 0 0 0 1 1
2449,Video Title 2449,arts mathematics psychology,45000,,2023-12-19 16:52:58,1 0 0 0 0 0 1 0 0 1
4145,Video Title 4145,chemistry literature psychology,39000,,2023-12-18 05:32:45,0 0 0 1 0 1 0 0 0 1
2212,Video Title 2212,arts computer_science music,40000,,2023-12-17 21:46:08,1 0 0 0 1 0 0 1 0 0
64,Video Title 64,business,49000,,2023-12-17 20:13:58,0 0 1 0 0 0 0 0 0 0
169,Video Title 169,mathematics,48000,,2023-12-17 18:02:55,0 0 0 0 0 0 1 0 0 0
1092,Video Title 1092,chemistry physics,45000,,2023-12-17 06:55:13,0 0 0 1 0 0 0 0 1 0
3657,Video Title 3657,business literature mathematics,60000,,2023-12-16 19:01:32,0 0 1 0 0 1 1 0 0 0
3165,Video Title 3165,biology mathematics music,43000,,2023-12-16 06:04:33,0 1 0 0 0 0 1 1 0 0
