video_id,title,categories,duration,tags,publish_date,vector
sPvJoH21u1U,how to solo in 7/16 good,music,36000,"adam, neely, jazz, fusion, bass, guitar, lesson, theory, music",2022-02-01 03:22:09,0 0 0 0 0 0 0 1 0 0
I5fSR8v2_rY,"say the lick, bart",music,8000,"adam, neely, jazz, fusion, bass, guitar, lesson, theory, music",2018-04-01 07:43:35,0 0 0 0 0 0 0 1 0 0
hJ5T27pKmhs,Trauma versus PTSD (Post Traumatic Stress Disorder),psychology,58000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-02-08 12:45:02,0 0 0 0 0 0 0 0 0 1
Ks1-YG7BO7s,3 must know facts about self-harm,psychology,40000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-03-25 12:00:21,0 0 0 0 0 0 0 0 0 1
Exjz4qi3Kc0,Grieving a loss? Here's what to do.,psychology,58000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2022-12-16 13:00:12,0 0 0 0 0 0 0 0 0 1
LtKrmKlbcBs,Are you depressed or just sad? Here's how to tell,psychology,51000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2022-11-09 13:00:21,0 0 0 0 0 0 0 0 0 1
4gMyfxfK4sw,The 3 best ways to treat trauma and PTSD,psychology,44000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-03-23 12:30:03,0 0 0 0 0 0 0 0 0 1
1CzfYDIGrN0,Why facing your fears might not work,psychology,53000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-02-19 12:00:02,0 0 0 0 0 0 0 0 0 1
HDYuPXbULRw,Don’t say this to people who self-harm,psychology,41000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-03-31 11:30:06,0 0 0 0 0 0 0 0 0 1
Zb6GzO1LoOQ,Why do some develop phobias while others don't?,psychology,49000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-09-27 19:00:14,0 0 0 0 0 0 0 0 0 1
g9liHCm23FU,Do this if you want to stop self-harming,psychology,42000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2023-03-27 11:30:21,0 0 0 0 0 0 0 0 0 1
9bvUoKU8CAU,4 social anxiety skills you need to start using now,psychology,60000,"ali mattu, psychologist, psychology, the psych show, clinical psychology, mental health, mental illness, cognitive behavioral therapy, cbt, therapist, therapy",2022-11-11 14:00:07,0 0 0 0 0 0 0 0 0 1
yVSf1_JFQr0,BrainCraft Trailer | PBS Digital Studios,psychology,34000,"braincraft, vanessa hill, psychology, neuroscience, public broadcasting service (tv network), mind, pbs digital studios, trailer (website category), learning, pbs",2014-07-03 16:23:04,0 0 0 0 0 0 0 0 0 1
QZOsP8Ke53Q,MUTANT MENU Trailer | BrainCraft,psychology,57000,"crispr, mutant menu, braincraft, pbs, vanessa hill, brain craft, genetic engineering, gene editing, technology, science, documentary, education, pbs digital studios, brain, nessy hill, public broadcasting service, psychology, neuroscience, pbsds, ethics, bioethics",2017-05-03 19:06:07,0 0 0 0 0 0 0 0 0 1
